model_id,n_params,log_params,log_flops,gpu_model,gpu_model_enc,gpu_count,tdp_w,train_type,train_type_enc,task,task_enc,downloads,likes,energy_kwh,log_energy_kwh,source
RedHatAI/gemma-3-27b-it-quantized.w4a16,27000000000.0,10.431363764158988,21.90848501887865,t4,5,1,70.0,pre-train,1,image-text-to-text,7,334981,13,15.120000000000001,1.1795517911651878,huggingface
nvidia/Cosmos-Reason2-8B,8000000000.0,9.903089986991944,19.380211241711606,a100,0,1,400.0,fine-tune,0,image-text-to-text,7,330919,192,3.2,0.505149978319906,huggingface
PaddlePaddle/PP-DocLayoutV3_safetensors,3000000000.0,9.477121254719663,20.954242509439325,l4,2,1,72.0,pre-train,1,object-detection,11,329735,28,1.7279999999999998,0.2375437381428744,huggingface
answerdotai/ModernBERT-large,149000000.0,8.173186268412275,17.650307523131936,h100,1,1,700.0,fine-tune,0,fill-mask,5,329237,471,0.10429999999999999,-0.9817156915734692,huggingface
yuhuili/EAGLE-LLaMA3.1-Instruct-8B,13000000000.0,10.113943352306837,19.5910646070265,a100,0,1,400.0,unknown,2,unknown,21,329127,3,5.2,0.7160033436347992,huggingface
nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8,9000000000.0,9.954242509439325,21.431363764158988,a100,0,1,400.0,pre-train,1,text-generation,14,325290,9,28.8,1.4593924877592308,huggingface
stepfun-ai/Step-3.5-Flash,11000000000.0,10.041392685158225,21.518513939877888,t4,5,1,70.0,pre-train,1,text-generation,14,324403,820,6.16,0.7895807121644255,huggingface
nvidia/personaplex-7b-v1,7000000000.0,9.845098040014257,19.32221929473392,a100,0,1,400.0,fine-tune,0,audio-to-audio,2,321250,2538,2.8000000000000003,0.44715803134221926,huggingface
Qwen/Qwen3-Omni-30B-A3B-Thinking,30000000000.0,10.477121254719663,19.954242509439325,t4,5,1,70.0,fine-tune,0,any-to-any,0,313838,304,2.1,0.3222192947339193,huggingface
ibm-granite/granite-embedding-311m-multilingual-r2,7000000.0,6.845098040014257,18.32221929473392,h100,1,1,700.0,pre-train,1,feature-extraction,4,313234,102,0.06999999999999999,-1.1549019599857433,huggingface
black-forest-labs/FLUX.2-dev,32000000000.0,10.505149978319906,21.98227123303957,rtx 4090,4,1,450.0,pre-train,1,image-to-image,9,309301,1758,115.2,2.061452479087193,huggingface
lightonai/LightOnOCR-2-1B,1000000000.0,9.0,20.477121254719663,h100,1,1,700.0,pre-train,1,image-text-to-text,7,309272,692,5.6,0.7481880270062004,huggingface
nvidia/Llama-4-Scout-17B-16E-Instruct-FP8,17000000000.0,10.230448921378274,19.707570176097935,h100,1,1,700.0,unknown,2,unknown,21,307970,16,11.899999999999999,1.0755469613925308,huggingface
Jackrong/Qwopus3.6-27B-v1-preview-GGUF,27000000000.0,10.431363764158988,19.90848501887865,t4,5,1,70.0,unknown,2,image-text-to-text,7,305440,124,1.8900000000000001,0.2764618041732442,huggingface
nvidia/Cosmos-Reason2-2B,2000000000.0,9.301029995663981,18.778151250383644,a100,0,1,400.0,fine-tune,0,image-text-to-text,7,299655,100,0.8,-0.09691001300805639,huggingface
jinaai/ReaderLM-v2,1500000000.0,9.176091259055681,20.653212513775344,t4,5,1,70.0,pre-train,1,text-generation,14,299562,792,0.8400000000000001,-0.0757207139381183,huggingface
nvidia/NVIDIA-Nemotron-Nano-9B-v2-Japanese,9000000000.0,9.954242509439325,21.431363764158988,a100,0,1,400.0,pre-train,1,text-generation,14,299441,138,28.8,1.4593924877592308,huggingface
MaziyarPanahi/Qwen3-0.6B-GGUF,600000000.0,8.778151250383644,18.255272505103306,t4,5,1,70.0,unknown,2,text-generation,14,296036,11,0.042,-1.3767507096020994,huggingface
mistralai/Mistral-Small-3.1-24B-Instruct-2503,24000000000.0,10.380211241711606,19.85733249643127,t4,5,1,70.0,fine-tune,0,unknown,21,295881,1364,1.6800000000000002,0.2253092817258629,huggingface
MaziyarPanahi/Qwen3-4B-GGUF,4000000000.0,9.602059991327963,19.079181246047625,t4,5,1,70.0,unknown,2,text-generation,14,291280,7,0.28,-0.5528419686577808,huggingface
MaziyarPanahi/Qwen3-8B-GGUF,8000000000.0,9.903089986991944,19.380211241711606,t4,5,1,70.0,unknown,2,text-generation,14,291223,10,0.56,-0.25181197299379954,huggingface
MaziyarPanahi/Qwen3-14B-GGUF,14000000000.0,10.146128035678238,19.6232492903979,t4,5,1,70.0,unknown,2,text-generation,14,291110,10,0.9800000000000001,-0.008773924307505102,huggingface
HuggingFaceTB/SmolLM3-3B-Base,3000000000.0,9.477121254719663,20.954242509439325,h100,1,1,700.0,pre-train,1,text-generation,14,290326,158,16.799999999999997,1.2253092817258628,huggingface
MaziyarPanahi/Qwen3-1.7B-GGUF,1700000000.0,9.230448921378274,18.707570176097935,t4,5,1,70.0,unknown,2,text-generation,14,289187,7,0.11900000000000001,-0.9244530386074692,huggingface
MaziyarPanahi/Qwen3-32B-GGUF,32000000000.0,10.505149978319906,19.98227123303957,t4,5,1,70.0,unknown,2,text-generation,14,286036,2,2.24,0.35024801833416286,huggingface
MaziyarPanahi/Qwen3-30B-A3B-GGUF,30000000000.0,10.477121254719663,19.954242509439325,t4,5,1,70.0,unknown,2,text-generation,14,285858,4,2.1,0.3222192947339193,huggingface
